X,creelID,lakeID,site_group,accessPoint,sampleDate,FishingMode,numberInParty,travelTimeHours,dateTimeReturnInterview,dateTimeLeftLanding,timeNotFishing,electronicUse,fishingDaysYear,fishingDaysLakeYear,homeZip,satisfactionOverall,satisfactionNumber,satisfactionSize,c1LifeRevolves,c2TrophySpots,c3MostEnjoyable,c4SignificantIncome,c5Enjoyable,c6NoTimeHobbies,c7MaximizeNumbers,c8NoAlternative,c9FriendsFish,c10ReleaseFish,c11LoseFriends,c12BigSmall,c13OtherLeisure,c14KeepFishing,c15SpecialGear,income,race,raceOther,hispanic,X.1,income_group,Region,site_method,race_collapsed
1,BK_BoatLaunch_20180512_creel_1,BK,rural,BoatLaunch,20180512,Boat,2,NA,NA,20180512 13:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rural,Rural Boat,NA
2,AQ_BoatLaunch_20180513_creel_1,AQ,rural,BoatLaunch,20180513,Boat,2,0.416666667,20180513 14:10,20180513 09:30,0.166666667,NA,80,NA,54467,8,8,7,4,5,4,2,5,2,3,3,4,NA,2,4,3,4,5,NA,NA,NA,NA,NA,NA,Rural,Rural Boat,NA
3,AQ_BoatLaunch_20180513_creel_2,AQ,rural,BoatLaunch,20180513,Boat,1,0.2,20180513 15:25,20180513 13:00,0,NA,180,NA,54560,5,7,5,4,5,4,1,5,3,3,3,2,NA,1,5,3,4,5,NA,NA,NA,NA,NA,NA,Rural,Rural Boat,NA
4,AR_BoatLaunch_20180514_creel_1,AR,rural,BoatLaunch,20180514,Boat,2,NA,20180514 15:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rural,Rural Boat,NA
5,BH_BoatLaunch_20180516_creel_1,BH,rural,BoatLaunch,20180516,Boat,4,0.5,NA,20180516 07:02,0,NA,6,NA,54403,8,8,6,1,5,1,1,4,2,4,2,2,NA,2,2,1,5,4,NA,NA,NA,NA,NA,NA,Rural,Rural Boat,NA
6,BH_BoatLaunch_20180516_creel_2,BH,rural,BoatLaunch,20180516,Boat,1,0.416666667,20180516 12:37,20180516 08:02,0,NA,101,NA,54455,10,5,5,5,3,5,3,5,4,3,1,5,NA,1,3,3,5,5,NA,NA,NA,NA,NA,NA,Rural,Rural Boat,NA
7,BH_BoatLaunch_20180516_creel_3,BH,rural,BoatLaunch,20180516,Boat,2,NA,NA,20180516 08:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rural,Rural Boat,NA
8,OB_BoatLaunch_20180517_creel_1,OB,rural,BoatLaunch,20180517,Boat,2,0.416666667,20180517 14:02,20180517 11:00,0,NA,100,NA,53110,6,1,1,5,4,5,5,5,5,5,4,4,NA,3,4,4,5,5,NA,NA,NA,NA,NA,NA,Rural,Rural Boat,NA
9,OB_BoatLaunch_20180517_creel_2,OB,rural,BoatLaunch,20180517,Boat,2,NA,NA,20180517 14:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rural,Rural Boat,NA
10,OB_BoatLaunch_20180517_creel_5,OB,rural,BoatLaunch,20180517,Boat,1,0,20180517 18:24,20180517 16:40,0,NA,60,NA,53593,1,1,1,3,3,4,4,5,5,5,4,2,NA,2,1,5,5,5,NA,NA,NA,NA,NA,NA,Rural,Rural Boat,NA
